8190           8190ZQ88890           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66550           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66440           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66440           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66430           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66430           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP65240           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64970           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66550           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66680           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66770           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66770           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67240           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67240           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67220           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67220           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66680           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64970           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64890           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64570           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67390           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP66940           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP66810           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP64110           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP64570           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64630           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64890           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64780           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64780           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64750           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64750           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64720           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64680           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64680           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64630           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64020           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190W93573E           CLA08190CL21000000040.000                    20180706MB1B                9I3    
8190           8190ZT97850           CL218190CL51000000020.000                    20180704MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20180705MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180705MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180705MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20180706MB1B                9I3    
8190           8190ZU03090           FL218190FA0R000000054.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
